"Provincia","Sí, afiliado al SIS","Sí, afiliado al EsSalud","Sí, afiliado al seguro de fuerzas armadas o policiales","Sí, afiliado a seguro privado de salud","Sí, afiliado a otro seguro"
"Chachapoyas",32860,12110,985,407,306
"Bagua",54088,9471,403,206,236
"Bongara",18057,2585,449,131,84
"Condorcanqui",33802,2515,190,49,172
"Luya",36541,3080,272,95,68
"Rodríguez de Mendoza",20815,3030,331,103,115
"Utcubamba",80664,10954,883,291,339
"Huaraz",90834,34932,2096,3723,1117
"Aija",4542,1190,29,275,11
"Antonio Raymondi",11048,1599,25,22,30
"Asunción",5337,1308,24,19,23
"Bolognesi",15559,3387,171,252,160
"Carhuaz",36131,3653,202,219,100
"Carlos Fermín Fitzcarrald",15101,1588,36,25,25
"Casma",27818,9395,378,485,277
"Corongo",5256,796,31,43,28
"Huari",44572,9136,220,1661,334
"Huarmey",15690,6773,211,366,184
"Huaylas",38996,5318,346,304,160
"Mariscal Luzuriaga",17682,1710,24,24,13
"Ocros",4524,590,43,27,20
"Pallasca",19206,2039,81,27,31
"Pomabamba",20664,2968,41,24,53
"Recuay",12173,2340,107,97,61
"Santa",173084,134030,4669,7205,3897
"Sihuas",23210,2524,47,39,19
"Yungay",40007,4169,383,134,135
"Abancay",69823,23982,1591,596,511
"Andahuaylas",109382,16394,1308,424,549
"Antabamba",8971,1511,59,47,14
"Aymaraes",19330,2816,190,110,65
"Cotabambas",37343,6081,440,975,217
"Chincheros",37927,3771,220,56,87
"Grau",17853,2159,74,27,26
"Arequipa",234872,399386,24382,50227,15800
"Camaná",22004,13650,956,694,677
"Caravelí",17382,7886,293,488,445
"Castilla",14549,9166,280,589,447
"Caylloma",37063,14834,589,1046,969
"Condesuyos",7398,4350,122,200,122
"Islay",14175,20354,730,764,763
"La Unión",9491,1378,73,56,71
"Huamanga",172717,51696,2892,2268,2188
"Cangallo",26679,2280,71,58,60
"Huanca Sancos",6894,1097,19,17,31
"Huanta",69980,7771,922,234,249
"La Mar",59363,3926,507,163,158
"Lucanas",36246,8031,211,215,178
"Parinacochas",19605,4725,41,169,93
"Páucar del Sara Sara",6759,1753,26,145,40
"Sucre",7324,1555,26,27,17
"Víctor Fajardo",15241,3575,39,82,55
"Vilcas Huamán",14369,1335,29,30,147
"Cajamarca",178141,74210,3665,10846,2579
"Cajabamba",56918,6877,209,230,143
"Celendín",63004,6190,406,167,143
"Chota",110990,12063,589,298,280
"Contumazá",20580,3762,229,95,65
"Cutervo",104181,9580,266,198,320
"Hualgayoc",57657,8203,178,403,232
"Jaén",126175,24723,865,946,792
"San Ignacio",106271,6955,326,132,182
"San Marcos",39033,3782,193,148,98
"San Miguel",38181,3205,202,89,96
"San Pablo",17931,1615,72,33,38
"Santa Cruz",29075,4465,227,171,80
